# 意味分類表(見出し語と分類番号の対応)。部門だけを持つ検証用の表である。
# 出典は日本語 WordNet (1.1) と Princeton WordNet 3.0 である。
# 日本語 WordNet の取得元は
# https://github.com/bond-lab/wnja/releases/download/v1.1/wnjpn-ok.tab.gz である。
# Princeton WordNet 3.0 の取得元は
# https://wordnetcode.princeton.edu/3.0/WNdb-3.0.tar.gz である。
# 日本語 WordNet の利用条件は https://bond-lab.github.io/wnja/license.txt にある。
# 分類番号の小数点以下第 1 位だけが意味を持ち、残りの 3 桁は 0 で埋めてある。
# 部門は Princeton WordNet の lexname から写した。
# 版: wnja-1.1+pwn-3.0
$	1.1000	1.3000
%	1.1000
j・d・サリンジャー	1.2000
kbo	1.5000
kc	1.1000
kcal	1.1000
km	1.1000
kotoko	1.3000
kp	1.2000
kv	1.1000
l	1.1000
l.y.	1.1000
lasek	1.3000
lb	1.1000
lbo	1.3000
lf	1.1000	1.3000
lh	1.4000	1.5000
lidar	1.4000
lifo	1.3000
lm	1.1000
m	1.1000
m1	1.3000
mcg	1.1000
medline	1.4000
mg	1.1000
mib	1.1000
midi	1.3000
mil	1.1000
min	1.1000	1.3000
mm	1.1000
mrna	1.4000	1.5000
mx	1.1000
narc	1.2000
nm	1.1000
nrl	1.4000
nw	1.1000
n型半導体	1.4000
os	1.3000
ov	1.2000
oz	1.1000
p-n接合	1.4000
pda	1.4000
pid	1.1000	1.5000
pn接合	1.4000
pom	1.2000
pto	1.4000
p・t・バーナム	1.2000
p型半導体	1.4000
qcd	1.3000
qt	1.1000
r	1.1000	1.3000
rb	1.4000	1.5000
rg	1.4000	1.5000
rnaポリメラーゼ	1.4000	1.5000
roi	1.1000
sas	1.2000
sfx	1.3000
sgml	1.3000
sle	1.1000	1.5000
sn	1.4000	1.5000
spf	1.1000	1.3000
ssa	1.2000
sse	1.1000
stp	1.1000
suv	1.4000
sw	1.1000
t	1.1000
tcp	1.3000
tel	1.4000
tia	1.1000	1.5000
tko	1.3000
triga	1.5000
trna	1.4000	1.5000
tss	1.1000	1.5000
t細胞	1.5000
un	1.2000
vol	1.1000	1.3000
vol.	1.1000	1.3000
wbs	1.1000
webカメラ	1.4000
www	1.4000
xt	1.1000	1.3000
x染色体	1.5000
yd	1.1000
£	1.1000
¥	1.1000
°	1.1000
°C	1.1000
αテスト	1.3000
α型インターフェロン	1.4000
α波	1.5000
α線	1.5000
βエンドルフィン	1.4000	1.5000
βテスト	1.3000
β崩壊	1.3000	1.5000
β波	1.5000
β線	1.5000
γアミノ酪酸	1.4000	1.5000
γグロブリン	1.4000	1.5000
δ波	1.5000
θ波	1.5000
μF	1.1000
μg	1.1000
μsec	1.1000
φ	1.3000
χ	1.1000	1.3000	1.5000
ق	1.3000
ك	1.3000
م	1.3000
ي	1.3000
〃	1.3000
〆切	1.1000	1.3000
〆切り	1.1000	1.3000
〆切日	1.1000
あいこ	1.1000	1.3000
あいしらい	1.3000
あいそ	1.3000
あいの手	1.3000
あいまい性	1.1000	1.3000
あい昧	1.1000	1.3000
あかがね	1.4000	1.5000
あかぬけていること	1.1000	1.3000
あがき	1.3000
あがり口	1.4000
あきんど	1.2000
あき場所	1.1000
あくた場	1.1000	1.2000	1.5000
あくび	1.3000
あげ足	1.3000
あげ足とり	1.3000
あこがれ	1.3000
あご鬚	1.5000
あざ	1.1000	1.5000
あざけり	1.3000
あざけること	1.3000
あしらい	1.3000
あじ	1.3000	1.5000
あずま屋	1.4000
あせび	1.5000
あせること	1.1000	1.3000
あそび人	1.2000
あそび女	1.2000
あたり	1.1000	1.2000	1.5000
あたり前	1.1000	1.5000
あたり屋	1.4000
あたり近所	1.1000	1.2000	1.5000
あだっぽい女	1.2000
あだ事	1.1000	1.5000
あだ名	1.3000
あだ討ち	1.3000
